Katsesõna	ÜS_definitsioon
kaugune	teatava kaugusega, teataval kaugusel olev
kaugus	ruumiline või ajaline vahemaa millegi või kellegi vahel
kaugushüpe	kergejõustiku ala, kus võisteldakse hüppamises võimalikult kaugele
kaugvastuvõtt	arsti vm tervishoiuspetsialisti ja patsiendi kokkulepitud kohtumine, mis toimub telefoni, veebivestluse või videokõne teel
kaugõppija	kaugõppes õppija
kaugõppur	kaugõppes õppija
Kaukaasia lambakoer	tugeva kehaehitusega võõraste suhtes umbusaldava loomuga koer, keda kasutatakse peamiselt karja ja kodu kaitsmisel
Kauksi	küla Ida-Viru maakonnas Alutaguse vallas (Iisaku kihelkonnas)
kaun	hrl mööda õmblusi kaheks poolmeks avanev ühepesaline hulgaseemneline kuivvili
kaunidus	teatud omadused (välimus, värvus, vorm vm), mille vaatamine annab esteetilise naudingu
kaunike	üsna või võrdlemisi suur
kaunikene	selline, kes (või mis) on üsna ilus
kaunikesti	üsna suurel määral, võrdlemisi palju
kaunilt	silmale või kõrvale nauditavalt, esteetilist elamust pakkuvalt
kaunis	välimuselt meeldiv, vaadates rahuldust pakkuv, väga kena
Kaunissaare	küla Harju maakonnas Anija vallas (Harju-Jaani kihelkonnas)
kaunisti	silmale või kõrvale nauditavalt, esteetilist elamust pakkuvalt
kaunistus	millegi kaunistamiseks kasutatav ese, muster, nikerdus, kiri vms
kaunisõnaline	kõrgelennulisi, ilusaid (tühje) sõnu sisaldav
kaunitar	(eriti) kaunis naine
kaunvili	köögivili, mille söödav osa on kaun või selles olevad seemned (nt hernes, lääts, uba)
kaup	asjad, mida ostetakse või müüakse
kaupa	üks osa, üksus korraga, iga osa, üksus eraldi
kauper	
kauplemine	ostjate ja müüjate vaheliste tehingute tegemine, kaupade, teenuste, väärtpaberite ost-müük
kauplus	"ettevõte, kus müüakse (teatavat liiki) kaupu või teenuseid	 vastav hoone või hoone osa"
kauplusauto	liikuvaks müügipunktiks kohandatud sõiduk, kus müüakse peamiselt toiduaineid ja esmatarbekaupu
kaupmees	kauplemisega elatist teeniv isik
kausaal	tagajärje tinginud põhjust, põhjuslikkust väljendav
kausaalne	tagajärje tinginud põhjust, põhjuslikkust väljendav
Kause	küla Pärnu maakonnas Lääneranna vallas (Hanila kihelkonnas)
kausitoit	kausis serveeritav toit, kus riisipõhjale on laotud mitmevärvilisi köögivilju ja kala või liha või muid toiduaineid
kauss	savist, klaasist või muust materjalist ümmargune või ovaalne sügav nõu toitude säilitamiseks või serveerimiseks
Kaussjärv	järv Võru maakonnas Rõuge vallas Rõuge alevikus (Rõuge kihelkonnas)
Kautjala	küla Harju maakonnas Rae vallas (Jüri kihelkonnas)
kaval	"seda väljendav	 olukordi enda huvides osavalt ärakasutav, millegi saavutamiseks leidlikult mitmesuguseid võtteid rakendav vms"
kavaldama	"olukorda enda huvides osavalt ära kasutama	 millegi saavutamiseks leidlikult mitmesuguseid võtteid rakendama, mingit kavalust tarvitama"
kavaler	meesaustaja, peigmees
kavalus	varjatud tarkuse, leidlikkuse kasutamine, kaval võte vms
kavandatu	see, mida (algul) kavatseti teha, saada või saavutada
Kavastu	küla Lääne-Viru maakonnas Haljala vallas (Haljala kihelkonnas)
kavatis	
kavatsema	"kellelgi kavas või mõttes olema (midagi teha)	 mingit ettevõtmist, tegu kavandama, et seda teoks teha"
kavatsetavasti	kavatsuse kohaselt, nagu on kavatsus
kavatsuslik	meelega tehtud või tehtav, plaanitsetud
Keava	alevik Rapla maakonnas Kehtna vallas (Rapla kihelkonnas)
Kecskemét	linn Ungaris
Kėdainiai	linn Leedus
kederluu	"luukühm(ud) jalal hüppeliigese külgedel	 jala vastav piirkond	 pisike lapik luu põlveliigeses, mis liigub jala eespinnal põlve painutades ja sirutades"
keedusool	valkjas kristalne merevee maitsega aine, mida kasutatakse toidu maitsestamiseks ja konserveerimiseks
keefir	pastöriseeritud piimast kääritamise teel saadud hapupiim
keelama	"kellelegi ütlema, et see ei tohi midagi teha või et see midagi ei teeks, mitte lubama	 keelu alla panema"
keelatu	keelatud tegevus või asi
keeld	"keelav korraldus, ütlus vms	 keelamine"
keelduma	"kellegi ettepanekut, palvet tagasi lükkama	 mitte nõustuma midagi tegema	 millestki loobuma"
keelekandja	"inimene, kes teis(t)e peale kaebab või teise(d) üles annab	 inimene, kes teisi taga räägib või kuulujutte levitab"
keelekorraldaja	keelekorralduse asjatundja
keeleline	sõnalise väljendusega, kõneldava või kirjutatud keelega seotud
keeleoskamatu	teatud keelt mitte oskav
keelepeksja	inimene, kes teisi taga räägib või kuulujutte levitab
keeleteadlane	keeleteaduse eriteadlane
keeleteadus	teadus, mis mingile keeleteooriale toetudes uurib inimkeelt, selle ehitust, levikut ja arengut
keeletus	keeleoskuse puudumine
keeleuurija	keeleteaduse eriteadlane
keeleuurimine	keele (teaduslik) uurimine
keeli	(teatavas) keeles
keelik	keelikloomade (nt roomajate, kõhrkalade, kahepaiksete) skeleti keskosa, selgmine torusarnane kesknärvisüsteem
keelikloom	hõimkond loomi (nt roomajad, kõhrkalad, kahepaiksed), kellel mõnel eluetapil esineb seljakeelik ehk selgmine torusarnane kesknärvisüsteem
keelitama	veenma, rääkima, et keegi midagi teeks või tegemata jätaks
keelitlema	veenma, rääkima, et keegi midagi teeks või tegemata jätaks
keelpill	muusikariist, mille heliallikas on võnkuv keel ja mille heli tugevdab kõlakast vms (nt viiul, kitarr, harf)
keelt peksma	kellestki tagaselja (halvasti) rääkima, tühje jutte levitama
keem	keemine, keenud-olek
keemik	keemia asjatundja
keemiline	"kemikaalidega seotud	 keemia valdkonda kuuluv, sellega seostuv	 keemianähtustest tingitud, selle tagajärjel tekkinud"
keemine	"(sellises vedelikus oleva tahke aine, ka keedunõu kohta)	 vedeliku tugev aurustumine nii, et vedeliku seest kerkib auru mullidena ka pinnale"
Keeni	küla Valga maakonnas Otepää vallas (Sangaste kihelkonnas)
keenialane	"Keenia kodanik või elanik	 Keenia päritolu inimene"
keep	õlgadel kantav varrukateta pealisrõivas või käisteta mantel
keerdkäik	kitsas keerdude ja soppidega kulgemistee
keerdu	"rõngasse või rulli, kokku keerdunuks	 rõngakujuliselt tõusvate keerdudega asendisse"
keerdus	"rõngas või rullis, kokku keerdununa	 rõngas või rullis, kokku keerdununa	 rõngakujuliselt tõusvate keerdudega	 rõngakujuliselt tõusvate keerdudega"
Keeri	küla Tartu maakonnas Nõo vallas (Nõo kihelkonnas)
keeris	õhu, vedeliku vm keerlev liikumine või sellise liikumise koht
keeriseline	(õhu, vedeliku vm kohta:) keerleva liikumisega, keeristega
keeritsuss	inimese või looma peensooles parasiteeriv väike ümaruss
keeritsusstõbi	inimeste ja loomade nakkushaigus, mida põhjustab lihastesse kapselduv ümaruss Trichinella spiralis
keerlema	"ümber oma keskpunkti või telje liikuma, ringe, pöördeid tegema	 selliselt mingis suunas edasi liikuma"
keermeline	keeret omav, keermega
keermestus	"keerme lõikamine detailile	 selle tulemus, keere"
keerukas	raskesti mõistetav või teostatav, rohkete erisuguste osiste või seostega
keerukus	"lihtsuse puudumine millegi ehituses, vormis, olemuses vm	 sellest tulenev raskesti mõistetavus, teostatavus vms"
keerulisus	"sellest tulenev raskesti mõistetavus, teostatavus vms	 lihtsuse puudumine millegi ehituses, vormis, olemuses vm"
keetja	vee, kohvi, muna vm keetmiseks kasutatav seade
keetma	vedelikku või vedelikus olevat ainet keeda laskma (hrl toidu või joogi valmistamise kohta)
keev	keemas olev, tuline, kuum (hrl vedeliku kohta)
keevitaja	tööline, kelle kutsealaks on keevitamine
keevitama	detailide servi sulamiseni kuumutades või surve abil liitma või lahutama
kefiir	pastöriseeritud piimast kääritamise teel saadud hapupiim
keha	inimese või looma kogu organism
kehakaal	elusolendi (hrl inimese) kaal
kehakate	"riietusese	 riietus"
kehakultuur	"kultuuri valdkond, mis hõlmab inimese kehalise arendamisega seotut (nt tervisesport, töövõimlemine)	 oma keha arendamine"
kehaline	inimese kehaga seotud
kehasoe	"kehast soojendatud, ihu järele soe	 umbes nii soe nagu inimese kehatemperatuur"
kehastama	mingit tegelasosa esitama, kedagi mängima
kehastuma	konkreetset (kehalist) kuju, vormi või väljendust omandama
kehastus	tegelaskuju esitamine, kellegi mängimine, kehastamine
kehatu	ilma kehata
kehatus	materiaalse, ainelise keha puudumine
kehavorm	keha või teatavate kehaosade välised jooned, nende (väline) kuju
kehkjas	kerglane ja edev
kehtetu	selline, mis (õiguslikult, ametlikult) pole jõus, heaks kiidetud või maksvusel
kehtetustama	seadusi, määrusi vms kehtetuks tunnistama
Kehtna	alevik Rapla maakonnas Kehtna vallas (Rapla kihelkonnas)
kehv	omadustelt, kõlblikkuselt või tasemelt ebarahuldav, vähene või puudulik, seetõttu sobimatu (kasutamiseks, tegevuseks vms)
kehvuma	raha, vara poolest vaeseks jääma
kehvveresus	punaliblede vähesus veres
Keibu laht	laht Harju ja Lääne maakonna piiril (Risti kihelkonnas)
keigar	edev, ennast imetlev mees, kes oma välimusele suurt rõhku paneb, hrl peenutsedes või liialdades rõivastusega
Keila-Joa	alevik Harju maakonnas Lääne-Harju vallas (Keila kihelkonnas)
keiserlik	keisrile kuuluv, keisrist lähtuv, tema teenistuses olev vms
kekkama	millestki uhkeldades rääkima, ennast sel viisil tähtsaks tegema või tähelepanu püüdma
keksti	"annab edasi hüppe kergust ja kärmust	 annab edasi hüppe kergust ja kärmust"
kekutama	tähelepanu ja imetlust äratada püüdma (eriti välimuse või käitumisega)
kelder	hoone esimese korruse alune, harvemini majast eemale (pooleldi) maa sisse ehitatud säilitusruum
kelkima	millestki uhkeldades rääkima, ennast sel viisil tähtsaks tegema või tähelepanu püüdma
kellassepp	kelli parandav oskustööline (ka vastav elukutse)
Kellavere	küla Lääne-Viru maakonnas Vinni vallas (Simuna kihelkonnas)
kellukene	väike koonusja kujuga metallist ese, mis tekitab kõlisevat heli
Kelmė	linn Leedus
kelmur	inimene, kes kasutab ebaausaid võtteid, teisi petab, tüssab
keltibeer	keltidest ja ibeeridest kujunenud vanaaja rahva liige Hispaanias
keltsane	(maasiseselt) jäätunud
Ä¶emeri	suvituspiirkond Lätis
kemps	ehitis või ruum urineerimiseks ja roojamiseks
kenake	"üsna suur, päris korralik	 üsna meelepärane, päris hea"
kenakene	"üsna meelepärane, päris hea	 üsna suur, päris korralik"
kentsakas	"silmahakkavalt ebaharilik või kummaline	 (oma ebatavalisuse tõttu) naljakas, veider"
Kentucky	USA osariik
kenus	
kenusse	
kepike	väike kepp, peenike pulk
kepikõndija	kepikõndi harrastav inimene
kepjas	kujult keppi või peenikest pulka meenutav
kepp	käes hoidmiseks sobiv peenemast puutüvest, oksast vm materjalist ümmargune varb (toeks, löömiseks, näitamiseks vms)
kepslema	(mänglevalt, kergelt) karglema, hüpeldes liikuma
kepsti	"kepsates, kerge hüppega	 kepsates, kerge hüppega"
kepsu lööma	(mänglevalt, kergelt) karglema, hüpeldes liikuma
kepsutama	(mänglevalt, kergelt) karglema, hüpeldes liikuma
kera	ümmargune pallikujuline ese või moodustis
keraamiline	savi vm materjali põletamise või kuumutamisega seotud, sel viisil valmistatud, keraamikatööstuse alale kuuluv
kerajas	(taimelehe kuju, puu võra kohta:) ümara kujuga
kerapind	(geomeetrias:) pind, mille kõik punktid on ühest kindlast punktist ühekaugusel, kera ümbritsev pind
keretäis	"kõhtu täitev, küllalt suur kogus (söödavat, joodavat)	 (peksaandmise või -saamise, karistamise kohta)"
kergatslik	kerglane ja edev
kerge	vähe kaaluv, väikese kaaluga
kergemeelsus	muretu, hooletu, mittetõsine (ellu)suhtumine
kergendus	vabanemistunne, lõdvestus närvipinge, mure, raskuste vms möödumisel või vähenemisel
kergitama	(pisut) kõrgemale, ülespoole liigutama või tõstma
kerglus	mitte tõsiselt võetav, kergemeelne või mõtlematu käitumisviis või olek
Kergu	küla Pärnu maakonnas Põhja-Pärnumaa vallas (Pärnu-Jaagupi kihelkonnas)
kergus	kaalult kerge olek, kergekaalulisus
kerjakepp	kerjuse kasutatav kepp (hrl sümboliseerib kerjamist üldse)
kerkima	määralt või ulatuselt suurenema, kõrgemaks muutuma
kerkvele	"kohevile	 kerkivasse asendisse"
kes	küsiv-siduv sõna isikute, elusolendite kohta
kesi	viljatera kest
kesik	põrsast vanem (umbes aastane), kuid mitte veel täiskasvanud siga
kesk	millegi keskel, keset midagi
keskelt	"mingi ala, koha keskkohast	 mingi ala, koha keskkohast"
keskendama	oma mõtteid, tähelepanu, tegevust kesksele probleemile või teatud ülesande täitmisele suunama
keskenduma	"oma mõtteid, tähelepanu, tegevust kesksele probleemile või teatud ülesande täitmisele suunama	 oma tähelepanu, mõtteid või tegevust millegi ümber koondama"
keskharidus	keskmise astme üldharidus (järgneb põhiharidusele ja võimaldab edasiõppimist kõrgkoolis)
keskjaam	seadmestik telefonivõrku kuuluvate telefonide omavaheliseks kokkulülitamiseks
keskkaal	üks keskmisi kaalukategooriaid (nt poksis, maadluses)
keskkonnahoidlik	keskkonda, loodust inimtegevuse kahjuliku mõju eest säästev või kaitsev
keskkonnasäästlik	keskkonda, loodust inimtegevuse kahjuliku mõju eest säästev või kaitsev
keskkool	kool, mis annab keskhariduse
keskkõrv	kõrva keskmine osa, mis on õhuga täidetud ning koosneb trummiõõnest, kuulmetõrvest ja nibujätke rakkudest
Keskküla	küla Lääne maakonnas Lääne-Nigula vallas (Kirbla kihelkonnas)
keskküte	küttesüsteem, mis soojendab torustiku või kanalite kaudu mitut hoonet (nt tervet asulat) või kuulub ühe hoone juurde
kesklaine	"vastava pikkusega raadiolaine	 raadiolainete piirkond, mille lainepikkus on umbes 100-1000 m"
kesklinn	linna keskosa, hrl vilgas äri- ja meelelahutuskeskus
kesklukustus	ühe nupulevajutusega kõiki lukke lukustav ja avav süsteem
kesklõuna	päeva keskmine osa, hrl umbes kell 12
keskmaajooksja	keskmaajooksule spetsialiseerunud jooksja
keskmine	ruumiliselt või ajaliselt, vanuseliselt vahepeal olev, keskkohas, keskel või vahel paiknev
Keskmustmullavöönd	maa-ala Kesk-Venemaal
kesknädal	nädala 3. päev, teisipäevale järgnev ja neljapäevale eelnev päev
kesknärvisüsteem	kogu organismi talitlust juhtiv närvisüsteemi osa, mis inimestel ja selgroosetel loomadel koosneb pea- ja seljaajust
keskpaiku	(umbkaudu) teatud ajalõigu keskpaigas
keskpunkt	millegi keskel, otstest või äärtest enam-vähem samal kaugusel olev koht
keskpäevane	keskpäeval esinev, toimuv vms
keskpära	keskpärane, ilmetu, mittemidagiütlev olek
keskpärasus	keskpärane, ilmetu, mittemidagiütlev olek
kesksuvi	suve keskmine, hrl kõige soojem osa, suve kõrgaeg
kesksõrm	kõige pikem, pöidlast lugedes kolmas sõrm
kesktalv	talve keskmine, hrl kõige külmem osa, talve kõrgaeg
kesktee	(kahe äärmuse vahepealse toimimisjoone või lahenduse, ka kompromissi kohta)
keskustelu	kellegagi (pikemalt) rääkimine, kõnelemine
Keskvere	küla Lääne maakonnas Lääne-Nigula vallas (Martna kihelkonnas)
kesköö	öö keskmine, pimedaim järk (kella 12 paiku)
kestel	"millegi toimumise ajal	 mingi ajaühiku väldates"
kestlik	edasiseks tegevuseks, toimimiseks võimeline, suuteline oma tegevust jätkama
kesv	kõrreline rohttaim, mille kultuurliiki viljeldakse teraviljana
Ket	Obi lisajõgi Venemaal
ketas	sõõrjas plaat, lameda silindri kujuline ratas
ketaslõikur	elektriline või suruõhutööriist metalli või kivi lõikamiseks, lihvimiseks, lõikeriistade teritamiseks, rooste eemaldamiseks vms
ketserlik	"ketserile omane	 kehtestatud või üldtunnustatud kirikuõpetusest ja usudogmadest kõrvalekaldumisega seotud"
kettaheide	kergejõustikuala, kus võisteldakse spetsiaalse ketta heitmises võimalikult kaugele
kevad	looduse tärkamise aeg, talve ja suve vaheline aastaaeg
kevade	looduse tärkamise aeg, talve ja suve vaheline aastaaeg
kevadeti	igal või mitmel kevadel, kevadetel
kevadine	"kevadel esinev või toimuv	 kevadele omane, kevadega seostuv"
kevaditi	igal või mitmel kevadel, kevadetel
kevadsuvine	kevadet ja suve hõlmav
KGB-lane	NSV Liidu Riikliku Julgeoleku Komitee (KGB) töötaja
Kharthli	"ajalooline maa-ala Gruusia kesk- ja idaosas	 maa-ala Gruusia kesk- ja idaosas"
kibe	teravalt mõru ja viha
kibedalt	kibeda-, mõrumaitseliselt
kibedus	
kibekiire	äärmiselt kiire, väga kiireloomuline
kibekiirelt	väga kiiresti, suure rutuga
kibekiiresti	väga kiiresti, suure rutuga
kibekähku	väga kiiresti, suure rutuga
kibelus	paigalpüsimatus, kärsitus, tormakas tahtmine midagi teha
kibun	väike tumedalaiguliste tiibade ja täpiliste silmadega parm
kibuvits	looduslikult kasvav ogaliste varte, roosakaspunaste õite ja vitamiinirohkete punaste marjadega põõsas
kidakeelne	liigseid sõnu vältiv, väheste sõnadega toime tulev
kiderik	hrl kasvult, välimuselt kängunud, kiratsev, viletsa või põdura olemisega
kidisema	tasast tuhmilt kriiksuvat heli andma
kiduma	vilets, põdur olema või viletsaks, põduraks jääma
kidunema	vilets, põdur olema või viletsaks, põduraks jääma
kidur	hrl kasvult, välimuselt kängunud, kiratsev, viletsa või põdura olemisega
kidurake	üsna kidur, kiratsev, (kasvult, välimuselt) viletsapoolne
kidurakene	üsna kidur, kiratsev, (kasvult, välimuselt) viletsapoolne
kidurik	hrl kasvult, välimuselt kängunud, kiratsev, viletsa või põdura olemisega
kigisema	tasast tuhmilt kriiksuvat heli andma
kihardama	hrl juukseid krussi keerama, lokiliseks tegema
kiharduma	kiharaks, lokiks keerduma
Kihelkonna	alevik Saare maakonnas Saaremaa vallas (Kihelkonna kihelkonnas)
kihiline	(erisugustest) kihtidest koosnev
kihin	vedeliku mullide ajamisest, hõõrdumisest, liikumisest vms tingitud terav, sihisev heli
kihin-kahin	kiirest liikumisest, elevil olekust või summutatud jutust, naerust tekkiv peenike kõlatu heli
kihistama	"peenikese häälega kõlatult, varjatult või vallatlevalt naerma või itsitama	 sel viisil midagi ütlema või omavahel kedagi taga rääkima"
kihlama	abielukokkuleppega ühendama, kihlusega vormistama
