märksõna;Tähendus(ed) (ÕS, ÜS);GPT-4o (17.05.24);"sildid
(valdkonnad suurtähtedes)";GPT 4 (27.03.24);sildid;Leksikograafi hinnang: SKMi järgi ÜSi pakutav registrimärgend või registrita;ÜK 2023: esinemisjuhud (konkordantsi järgi + sagedus per mln);"ÜK 2023: TOPIC
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023: GENRE
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023 konkordantsi uurimise järgi märkmeid
(random sample 200)";Leksikograafi hinnang: korpuse järgi ÜSi pakutav registrimärgend või registrita;Leksikograafi hinnang: mudel vs. korpus (mille poolest sarnanesid või erinesid);märkmed, mida ei oska kuhugi;Allikas (ÕS või ÜS);Orig. allika märgend;Teise allika märgend (27.–30.05.2024);"Kas SKM oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(kvalitatiivne analüüs hiljem)";"Kas korpus oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(nt sõna sagedus korpuses?)";"Kas SKM ja korpus täiendasid teineteist?
(jah/ei)";mille poolest täiendasid/erinesid?;"Kas märgendite pakkumine erineb SKMi ja korpuse puhul? 
(jah/ei)";"Leksikograafi pakkumine SKMi põhjal vs. originaalallikas?
(sama/mitte)";"Leksikograafi pakkumine korpuse põhjal vs. originaalallikas?
(sama/mitte)";"orig. allikas on argi/kõnek, aga SKMi ja/või korpuse järgi ei hinda nii
(täita ainult siis, kui jah;
vastupidi = SKM/korp pakkus kõnek, aga allikas polnud)"
paganus;"ÕS: paganausk; ÜS: vana traditsiooniline kohalik usk (hrl vastandatuna ristiusule)";kasutatakse eesti keeles peamiselt religiooni ja kultuuri kontekstis. See viitab tavaliselt usunditele ja praktikatele, mis ei kuulu suurtesse monoteistlikesse religioonidesse nagu kristlus, islam või judaism. Sõna võib esineda ajaloolistes tekstides, religioonialastes aruteludes, kirjanduses ja folklooris. Näiteks võib seda leida ajalooõpikutes, mis käsitlevad muinasaegu, või kirjandusteostes, mis uurivad vanu uskumusi ja tavasid.;RELIGIOON, KULTUUR, arutelud, kirjandus, FOLKLOOR, õpikud;kasutatakse religiooniuuringutes, tähendab mittekristlast või vanade usundite järgijat.;RELIGIOON;registrita;145 (0,04 per mln);"NONE 63 (ei ole tüüpiline), culture & entertainment	 52 (tüüpiline), culture & entertainment:books & literature	45 (tüüpiline: 1,538.36 %!), religion 17 (tüüpiline), education 6 (tüüpiline), science 6 (tüüpiline)	";NONE 68 (tüüpiline), periodicals 24 (ei ole tüüpiline), blogs 17 (ei ole tüüpiline), forums 12 (ei ole tüüpiline), encyclopedia 9 (tüüpiline);osa vastetest ladina keeles;registrita;üsna sama;;ÕS;registrita;;jah;;jah;;jah;;ei;sama;sama;
paralüüsima;"ÕS: halvama; ÜS 1: HARV tegutsemisvõimet, -võimalust takistama, millegi toimimist võimatuks tegema; ÜS 2 HARV keha või kehaosa halvatust tekitama, keha(osa) liikumatuks muutma";kasutatakse eesti keeles tavaliselt meditsiinilistes ja tervishoiualastes tekstides, kus räägitakse kehaosade või lihaste liikumisvõime kaotamisest ehk halvatuse tekkimisest. Seda sõna võib kohata ka psühholoogia, neuroloogia ja füsioteraapia kontekstis. Lisaks võib seda kasutada ka metafooriliselt, näiteks kirjeldamaks olukorda, kus tegevus või protsess on täielikult peatunud või takistatud.;MEDITSIIN, TERVISHOID, PSÜHHOLOOGIA, NEUROLOOGIA, FÜSIOTERAAPIA;kasutatakse meditsiinilistes tekstides, teadusartiklites või tervisealastes blogides ja artiklites;MEDITSIIN, teaduskirjandus, TERVIS, blogid, artiklid;registrita;33 (0,01 per mln);"NONE 19 (tüüpiline), culture & entertainment 8 (tüüpiline), culture & entertainment:books & literature	3 (tüüpiline), politics & government	 2 (ei ole tüüpiline), religion 1 (tüüpiline), sports 1 ( ei ole tüüpiline), nature & environment 1 (tüüpiline), science 1 (tüüpiline)";"NONE 13 (tüüpiline), periodicals 12 (ei ole tüüpiline); blogs 4 (ei ole tüüpiline), forums 3 (ei ole tüüpiline), encyclopedia 1 (tüüpiline), periodicals:journals 1 (tüüpiline)";"enamik tähenduses ""tegutsemisvõimet takistama"", mitte ""kehaosa halvama""";registrita;mudelid keskenduvad terviseteemadele, korpuses ei tule see üldse esile, seal pigem metafoorne tähendus;;ÕS;registrita;;jah;;jah;;jah;toetasid pigem, kuigi mudelil kitsamad valdkonnad ka;ei;sama;sama;
parenhüüm;"ÕS: tähendust pole selgitatud; ÜS: elundite (nt maksa, neeru või näärmete) kude, milles toimub nende elundite iseloomulik talitlus";kasutatakse peamiselt meditsiinilistes ja bioloogilistes tekstides. Parenhüüm viitab funktsionaalsele koele elundites, mis täidab elundi põhifunktsioone, erinevalt tugikoest või stroomast. Näiteks võib seda terminit kohata anatoomia, patoloogia ja füsioloogia õpikutes ning teadusartiklites.;MEDITSIIN, BIOLOOGIA, õpikud, teaduskirjandus;meditsiiniline termin, mida kasutatakse teaduslikes ja meditsiinilistes tekstides;MEDITSIIN, teaduskirjandus;registrita;145 (0,04 per mln);NONE 83 (tüüpiline), science 22 (tüüpiline), health 14 (tüüpiline), education 11 (tüüpiline), agriculture 8 (tüüpiline - 2417%);NONE 68 (tüüpiline), encyclopedia 53 (tüüpiline - 2571%), periodicals 10 (ei ole tüüpiline), e-commerce 5 (ei ole tüüpiline), forums 4 (ei ole tüüpiline);;registrita;mõlemas bioloogia- ja meditsiinialased tekstid;;ÕS;registrita;;jah;;jah;;jah;;ei;sama;sama;
passiivmaja;"ÕS: hoone, milles soojusliku mugavuse tagab hoonesse juhitava värske õhu järelsoojendamine v -jahutamine; ÜS: kõrgetele energiasäästu nõuetele vastav maja, mille energiavajadus on kaetud kohapeal või läheduses toodetud energiaga";kasutatakse peamiselt arhitektuuri, ehituse ja energiatõhususe valdkonna tekstides. Passiivmaja viitab hoonele, mis on projekteeritud ja ehitatud selliselt, et selle energiatarve on minimaalne, kasutades passiivseid meetodeid nagu hea soojustus, õhutihedus ja päikeseenergia maksimaalne ärakasutamine. Selliseid tekste võib leida näiteks ehitusajakirjades, energiatõhususe käsiraamatutes, arhitektuuriblogides ja teadusartiklites, mis käsitlevad säästvat ehitust ja energiatõhusust.;ARHITEKTUUR, EHITUS, ENERGIATÕHUSUS, käsiraamatud, blogid, teaduskirjandus;kasutatakse arhitektuuri- ja ehitusalastes tekstides;ARHITEKTUUR, EHITUS;registrita;4474 (1,18 per mln);"NONE 2227 (keskmine), construction & real estate 1371 (tüüpiline), economy, finance & business	219 (tüüpiline), nature & environment 124 (tüüpiline), culture & entertainment 110 (ei ole tüüpiline)";periodicals 1691 (ei ole tüüpiline), NONE 1435 (tüüpiline), forums 706 (tüüpiline), blogs 334 (ei ole tüüpiline), e-commerce 241 (tüüpiline);praktiliselt ainult veebitekstid;registrita (forums ja blogs küll palju esil, aga ju neis arutatakse neid ehitusteemasid, sõna ise pole kuidagi foorumlikult kõnekeelne);sama;;ÕS;registrita;;jah;;jah;;ei;toetasid, aga põhimõtteliselt sama;ei;sama;sama;
pehmo;"ÕS: argi tossike; ÜS: KÕNEKEELNE leebe ja järeleandlik, abituna mõjuv, mittekarm inimene, hrl mehe kohta";kasutatakse eesti keeles tavaliselt kõnekeeles ja slängis. See võib viidata inimesele, keda peetakse pehmeks või nõrgaks, sageli emotsionaalses või füüsilises mõttes. Seda sõna võib leida erinevates kontekstides, näiteks vestlustes, sotsiaalmeedias, blogides või isegi mõnes ilukirjanduslikus teoses, kus kasutatakse kõnekeelt või slängi. Täpsemalt, millistes tekstides seda sõna kasutatakse, mul informatsiooni ei ole.;kõnekeel, släng, vestlused, sotsiaalmeedia, blogid, ilukirjandus;kasutatakse sageli suulises kõnes või argielu kirjeldavates proosateostes;kõnekeel, proosateosed;kõnek;3798 (1 per mln);NONE 1852 (ei ole tüüpiline), sports 1027 (tüüpiline),culture & entertainment 290 (ei ole tüüpiline), sports:football 197 (tüüpiline);periodicals 1510 (ei ole tüüpiline), blogs 1314 (tüüpiline), forums 627 (tüüpiline), NONE 296 (ei ole tüüpiline), periodicals:newspapers 51 (tüüpiline);halvustav;kõnek, halvustav;korpuses proosateoseid polnud pea üldse, mudel pakkus neid ka;;ÕS;argi;;jah;;jah;;jah;;ei;sama;sama;
piripardani;"ÕS: ääretasa, triiki
ÜS: (ääretasa, pilgeni täis oleku või sellise täitumise kohta)";"kasutatakse eesti keeles tavaliselt kõnekeeles või mitteametlikes tekstides. See tähendab ""ääreni täis"" või ""kuni servani täis"". Näiteks võib seda kasutada kirjeldamaks olukorda, kus midagi on täis või ülevoolavalt palju. Näiteks: ""Klaas oli piripardani vett täis."" või ""Toit oli piripardani maitseaineid täis.""";kõnekeel, mitteametlikud tekstid;kõnekeelne väljend, mida kasutatakse sageli suulises kõnes või argielu kirjeldavates proosateostes;kõnekeel, proosateosed;KÕNEK;95 (0.03 per million);NONE 48 (ei ole tüüpiline), culture & entertainment 18 (tüüpiline), technology & IT 12 (tüüpiline), technology & IT:cars 12 (tüüpiline), sports 8 (tüüpiline);periodicals 59 (131.36 %), NONE 16 (70.57%), blogs 9 (58.63%), fiction 8 219.22%), fiction:Novel 5 (159.35%);ENAMASTI ÜHENDIS  piripardani täis, ERINEVAD TEEMAD, ei saa öelda, et ainult kõnekeel või murdekeel;registrita;SKM pakub kõnekeelt, korpuse järgi tundub, et ei ole enam ainult kõnekeel või murdesõna;;ÕS;murdes;registrita;jah;;jah;;jah;;jah;mitte;mitte;
preisi keel;"ÕS: tähendust pole selgitatud; ÜS: 17. sajandil hääbunud balti keel, mida kõneldi Ida-Preisimaal";"Ma ei oska öelda, millistes tekstides kasutatakse sisestatud eesti(keelset) sõna ""preisi keel"".";ei tea;kasutatakse ajaloo, keeleteaduse ja kultuuriuuringute kontekstis;AJALUGU, KEELETEADUS, kultuuriuuringud;registrita;62 (0,02 per mln);"NONE 41 (tüüpiline), travel & tourism 10 (tüüpiline), culture & entertainment 6 (ei ole tüüpiline), education 2 (tüüpiline), religion 1 (ei ole tüüpiline), culture & entertainment:books & literature	1 (keskmine), education:languages & linguistics 1 (tüüpiline), science 1 (keskmine), other:military 1 (tüüpiline), culture & entertainment:music 1 (tüüpiline)";NONE 21 (tüüpiline), encyclopedia 15 (tüüpiline), periodicals 12 (ei ole tüüpiline), non-fiction 6 (tüüpiline), non-fiction:Popular science 6 (tüüpiline - väga - 2376%), blogs 6 (ei ole tüüpiline), periodicals:journals 4 (tüüpiline), forums 1 (ei ole tüüpiline), e-commerce 1 (ei ole tüüpiline);ajalooteemalised peamiselt;registrita;mudelite jaoks vist natuke harva esinemisega, aga kui gpt4 midagi arvata oskas, siis tuli sama tulemus, mis korpustel;;ÕS;registrita;;jah;;jah;;ei;üks mudel ei teadnud, teisel sama tulemus korpusega;ei;sama;sama;
provanslane;"ÕS: Romaani rahvas provanslased; ÜS: ajaloolise Provence'i provintsi alade elanik, sealt pärit lõunaprantslane";kasutatakse tekstides, mis käsitlevad Provence'i piirkonda ja selle elanikke. See võib esineda ajaloolistes, kultuurilistes, geograafilistes või sotsiaalsetes kontekstides, kus räägitakse Provence'i piirkonna inimestest, nende elustiilist, traditsioonidest, ajaloost või kultuurist. Näiteks võib seda sõna leida reisikirjeldustes, ajalooõpikutes, kultuurianalüüsides või ilukirjanduslikes teostes, mis keskenduvad Provence'ile ja selle elanikele.;AJALUGU, KULTUUR, GEOGRAAFIA, reisikirjeldused, õpikud, analüüsid, ilukirjandus;kasutatakse kirjandustekstides, mis räägivad Provence'i piirkonnast Prantsusmaal või selle elanikest.;kirjandus;registrita;121 (0,03 per mln);NONE 114 (tüüpiline), culture & entertainment 5 (ei ole tüüpiline), travel & tourism 1 (ei ole tüüpiline), sports:orienteering 1 (tüüpiline - väga - 14866%), sports 1 (ei ole tüüpiline) ;fiction 70 (tüüpiline), fiction:Novel 70 (tüüpiline), non-fiction 40 (tüüpiline), non-fiction:Popular science 22 (tüüpiline), non-fiction:Memoir 16 (tüüpiline) - kõigi fiction ja nonfiction genre korral density > 1000%;paistab, et tõlkekirjandus;registrita;mõlemad pakkusid ilukirjandustekste ;;ÕS;registrita;;jah;;jah;;jah;;ei;sama;sama;
punakuub;"ÕS: Punakuuega v punakuueline sõdur; ÜS 1: punane kuub või mantel; ÜS 1.1: (jõuluvana kohta); ÜS 1.2: Briti koloniaalsõdade aegne Inglismaa punakuueline sõdur";kasutatakse eesti keeles tavaliselt kirjeldamaks inimest, kes kannab punast kuube või mantlit. See võib esineda erinevates tekstides, sealhulgas ilukirjanduses, rahvajuttudes, luules ja ajaloolistes kirjeldustes. Näiteks võib see sõna esineda rahvajuttudes, kus kirjeldatakse tegelasi, kes kannavad punaseid rõivaid, või ajaloolistes tekstides, kus viidatakse teatud ajastu või sündmuse osalejatele, kes olid riietatud punasesse.;ilukirjandus, rahvajutud, luule, kirjeldused, AJALUGU;kasutatakse ajaloolistes tekstides või kirjanduses, mis kirjeldab vanu rõivaid.;AJALUGU, kirjandus;registrita, luulekeelne;433 (0,11 per mln);NONE 290 (tüüpiline), culture & entertainment 89 (tüüpiline), culture& entertainment:movies & TV 18 (tüüpiline), food & drinks 10 (tüüpiline), sports 10 (ei ole tüüpiline), culture & entertainment:books & literature 10 (tüüpiline), technology & IT 9 (ei ole tüüpiline), technology & IT:cars 9 (ei ole tüüpiline);periodicals 206 (keskmine), blogs 88 (tüüpiline), fiction:Novel 57 (tüüpiline), fiction 57 (tüüpiline), NONE 41 (ei ole tüüpiline), forums 36 (ei ole tüüpiline);sõdurite tähenduses harva, pigem naljatlevalt jõuluvanade või teiste punast riietust kandvate inimeste kohta;registrita või naljatlev;gpt4 arvas, et peamiselt vanade rõivaste tähenduses, aga korpustes põhjal küll mitte. gpt4o oli täpsem, aga korpuste põhjal täitsa tänapäevases kasutuses, mudelite põhjal pigem kuidagi vanemate asjade kirjeldamisel. samas mudelite puhul ei tulnud esile sellist humoorikat kasutust;;ÕS;registrita;;jah;;jah;;jah;;ei;sama;sama;
pürjermeister;"ÕS: vmo, argi bürgermeister; ÜS: KÕNEKEELNE keskajal Saksa õigusega linnades rae vanema liikme või linnapea ametinimetus";kasutatakse ajaloolistes ja ametlikku keelt kajastavates tekstides, mis käsitlevad linnavalitsuse ja omavalitsuse struktuuri. See termin viitab linnapea või kõrge linnaametniku ametikohale, eriti ajaloolises kontekstis. Näiteks võib seda sõna leida ajaloolistes dokumentides, kroonikates, linnade ajalugu käsitlevates raamatutes ja uurimustes, samuti vanades seadustes ja määrustes.;AJALUGU, ametlik keel, OMAVALITSUS, LINNAVALITSUS, dokumendid, kroonikad, raamatud, uurimused, vanad seadused, määrused;võib esineda ajaloolistes tekstides või kirjanduses, mis räägib vanadest ametitest.;AJALUGU, kirjandus;registrita;68 (0,02 per mln);NONE 44 (tüüpiline), culture & entertainment 14 (tüüpiline), culture & entertainment: books & literature 7 (tüüpiline), education (3 tüüpiline), religion 3 (tüüpiline), education:books & literature 1 (tüüpiline), economoy, finance & business 1 (ei ole tüüpiline), education:languages & linguistics 1 (tüüpiline), travel & tourism 1 (ei ole tüüpiline), other:books & literature 1 (tüüpiline);NONE 20 (tüüpiline), periodicals 18 (ei ole tüüpiline), encyclopedia 12 (tüüpiline), fiction:novel 10 (tüüpiline), fiction 10 (tüüpiline), blogs (ei ole tüüpiline);ajaloolised tekstid;registrita;sama teemad ja anrid;;ÕS;argi;;jah;;jah;;jah;;ei;mitte;mitte;jah
rait;"ÕS: hiiglasuur asi
ÜS: [märksõna puudub]";võib eesti keeles esineda mitmes kontekstis, kuid kõige sagedamini kasutatakse seda isikunimena. Kui sul on konkreetne kontekst või tekst, kus seda sõna on kasutatud, siis saaksin täpsemalt vastata. Ilma täiendava informatsioonita ei oska ma täpselt öelda, millistes tekstides seda sõna kasutatakse.;NIMI;kasutatakse ajaloolistes tekstides või kirjanduses, mis räägib keskajast.;AJALUGU, kirjandus;registrita (SKM eksib);27,844 (7.37 per million), väiketähega 4263 (seal ka tegelikult suur osa isikunimi);;;enamik isikunimi, siis veel släng (jee, rait!), raiuma vigased vormid (raidus). Siinses tähenduses vanema ilukirjanduse korpusest mõned üksikud juhud leidsin.;ei ole võimalik hinnata, liiga vähe;kummastki pole eriti kasu;tundub, et seda eraldi sõnana praktiliselt ei esine;ÕS;murdes + teised tähendused BOT, ZOOL ;[märksõna puudub];ei;ei tundnud ära;ei;enamik isikunimi, siis veel släng (jee, rait!), raiuma vigased vormid (raidus). Siinses tähenduses vanema ilukirjanduse korpusest mõned üksikud juhud leidsin.;ei saa vastata;;ei saa vastata;ei saa vastata;ei saa vastata;
räidima;"ÕS: pooltooreks jääma; närtsima
ÜS: [märksõna puudub]";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""räidima"". See sõna ei ole mulle tuttav ja võib-olla ei ole see laialt levinud või standardne eesti keele sõna.";ei tea;kasutatakse peamiselt murdekeelsetes tekstides või vanemas kirjanduses, tähendab 'riidu kiskuma'.;murdekeel, vanem kirjandus;GPT 4 põhimõtteliselt õige (kuigi tähenduses eksib);7 (less than 0.01);NONE 4 (116.24%), food & drinks 1 (1,230.89%), culture & entertainment 1 (141.23%), politics & government 1 (241.28%);periodicals 4 (137.40%);väga harv, korpuses osalt sekundaarne kasutus;ilmselt MURDES, aga liiga harv, et korpuse järgi hinnata;Uuem SKM ei tunne, korpuses aga väga vähe.;vaja suuremat ilukirjanduse korpust, et otsustada;ÕS;murdes;[märksõna puudub];ei;;ei;liiga vähe;ei saa vastata;;ei saa vastata;ei saa vastata;ei saa vastata;
ridvamees;"ÕS: õngemees
ÜS: ridva ja õngega kalapüüdja";kasutatakse eesti keeles tavaliselt kalapüügiga seotud tekstides. See viitab inimesele, kes püüab kala ridvaga. Selliseid tekste võib leida kalapüügi juhendites, ajakirjades, blogides, foorumites ja muudes kalapüügiga seotud väljaannetes.;KALANDUS, ajakirjandus, blogid;kasutatakse kalapüügiga seotud tekstides või spordikirjanduses.;KALANDUS, SPORT;Kui tahta valdkondi märkida, siis mudelite põhjal võiks panna KALANDUS. Muidu registrita.;25 (0,01 per mln);"===NONE===	12	mittetüüpiline	
pets and animals	8 tüüp
culture & entertainment	tüüp
4	
culture & entertainment:books & literature 2 tüüp	
sports	1	mittetüüp ";"forums	13	tüüp
===NONE===	5	mittetüüp
periodicals	5	mittetüüp
fiction:Novel	1	tüüp
blogs	1	mittetüüp";;Korpussagedus madal ja mitmed kategooriad ainult üksikud esinemised. Aga tekib küsimus, kui palju peaks olema (osakaalu mõttes) kõnekeelsetes tekstides esinemist, et saada märgend juurde. Siin kuskil 50%, aga pigem märgendit ei paneks. Kuigi siin otsustuskoht.;Mudelid olid informatiivsemad valdkondade mõttes. Kalandus konkreetsem kui korpuse pakutav pets and animals.;Lydia: mis on ÕSi argi-sildi taga? + kui SKM pakub merendust, kas seda võib siis võtta ka, et mitte ainult erialakeeles, vaid merendusteemalistes tekstides?;ÕS;argi;registrita;jah;;jah;;jah;;ei;mitte;mitte;jah
rõõmurõngad;"ÕS: Ära aja rõõmurõngaid ära aja loba
ÜS: [märksõna puudub]";"Ma ei oska öelda, millistes konkreetsetes tekstides kasutatakse sõna ""rõõmurõngad"". See võib esineda erinevates kontekstides, näiteks kirjanduses, luules, ajakirjanduses või isiklikes kirjutistes, sõltuvalt autori loomingulisest väljendusest.";kirjandus, luule, ajakirjandus, isiklikud kirjutised;kasutatakse peamiselt lastekirjanduses või -luules, tähendab 'rõõmu väljendavad ringid'.;lastekirjandus;Mudelite põhjal kirjanduslik kasutus, kõnek märgendit ei paneks.;25 (0,01 per mln);"===NONE===	12	mittetüüp
sex 5 tüüp	
technology & IT	5 tüüp, sports 1 tüüp, education 1 tüüp";"periodicals	11	keskm
forums	8	tüüp
blogs	3	mittetüüp
fiction:Novel	2	tüüp
NONE 1 mittetüüp";Korpuses valdavalt seksmänguasja tähenduse kasutus, erineb sõnastikust ja mudelitest.;registrita   ;Mudelite pakutu, korpus ja sõnastik erinesid täielikult selle sõna kasutuse/tähenduse kirjelduses.;;ÕS;argi;[märksõna puudub];jah;;nii ja naa;korpuses teine tähendus esil, ei leidnud seda, mida sõnastikus pakuti;jah;eri tähenduste info;ei;mitte;mitte;jah
rõõmustama;"ÕS: rõõmu valmistama; rõõmus olema, rõõmutsema
ÜS: 1. rõõmu tegema; 2. rõõmu tundma, rõõmus olema";"kasutatakse eesti keeles tekstides, mis väljendavad positiivseid emotsioone, rõõmu või heameelt. Seda võib leida erinevates kontekstides, nagu ilukirjandus, luule, ajakirjandus, isiklikud kirjad, sotsiaalmeedia postitused ja igapäevane suhtlus. Näiteks võib seda kasutada lausetes nagu ""See uudis rõõmustas mind väga"" või ""Lapsed rõõmustasid, kui nad said kingitusi.""";erinevad tekstid, ilukirjandus, luule, ajakirjandus, isiklikud kirjad, sotsiaalmeedia, igapäevane suhtlus;kasutatakse laialdaselt erinevates tekstides, alates kirjandusest ja lõpetades ametlike dokumentidega, tähendab 'rõõmu tundma või tekitama'.;erinevad tekstid;mitmekesine kasutus, märgendit ei paneks;139,555 (36, 87 per mln);"===NONE===	75,365	keskm
culture & entertainment	17,381	tüüp
sports	13,086	tüüp
religion	7,507	tüüp	
education	2,769	mittetüüp	
";"periodicals	73,797	tüüp
blogs	23,524	tüüp
===NONE===	21,776	mittetüüp
forums	7,460	mittetüüp
fiction	6,403	tüüp";;Esineb erinevates valdkondes ja anrites, ei paneks märgendit.;"Mudelid märgivad kirjandust eespool, ajakirjandust pärast; korpussagedus tugevalt ajakirjanduse poole kaldu. Näitab ka üldist tekstide jaotumist korpuses.";;ÕS;registrita;registrita;jah;;jah;;jah;;ei;sama;sama;
rögane;"ÕS: [tähendust pole]
ÜS: (köha kohta:) hingamisteede eritise, väljaköhitava rögaga seotud";"kasutatakse tavaliselt eesti keeles kirjeldamaks midagi, mis on lima või röga täis, näiteks köha või hingamisteede seisundi kirjeldamisel. Seda võib leida meditsiinilistes tekstides, tervisealastes artiklites või kirjanduses, kus kirjeldatakse tegelase füüsilist seisundit. Kui sul on konkreetne kontekst, milles sõna ""rögane"" esineb, saan aidata täpsemalt.";MEDITSIIN, TERVIS, artiklid;kasutatakse meditsiinilistes tekstides või igapäevakeeles, tähendab 'röga sisaldav või tekitav'.;MEDITSIIN, argikeel;Sõnastikus, mis valdkonda märgiks, võiks mudelite põhjal panna MEDITSIIN;210 (0,06 per mln);"===NONE===	91	mittetüüp	
health	85	tüüp
home, family & children 13 tüüp
culture & entertainment	8 tüüp
sports	6 mittetüüp";"forums	69	tüüp
periodicals	56	mittetüüp
blogs	46	tüüp
===NONE===	25	mittetüüp
e-commerce	7	mittetüüp";;Tervis esil, nii et võiks panna valdkonnamärgendi, anrimärgendit ei paneks.;Nii mudel kui ka korpus toovad tüüpilise valdkonnana välja meditsiini/tervise (health).;;ÕS;registrita;registrita;jah;;jah;;jah;toetasid ja täiendasid;ei;sama;sama;
